Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-005;60.435;2026-05-22 00:55:18.96
BI-RUI-C012;47.5;2026-05-22 00:56:09.19
BI-RUI-BR6;44.351;2026-05-22 00:56:20.3
BI-RUI-C012;52.3;2026-05-22 00:57:26.81
BI-RUI-C003;47.90;2026-05-22 00:57:45.873
BI-RUI-C032;50.70;2026-05-22 00:57:51.233
BI-RUI-P011;61.0;2026-05-22 00:58:37.757
BI-RUI-C012;53.4;2026-05-22 00:58:44.303
BI-RUI-015;76.139;2026-05-22 00:58:56.43
BI-RUI-C004;74.1;2026-05-22 00:59:03.167
BI-RUI-C014;49.90;2026-05-22 00:59:54.253
BI-RUI-C012;52.5;2026-05-22 01:00:00.597
BI-RUI-017;69.915;2026-05-22 01:01:13.78
BI-RUI-004;69.922;2026-05-22 01:01:13.78
BI-RUI-019;61.678;2026-05-22 01:01:13.78
BI-RUI-P013;58.5;2026-05-22 01:01:13.78
BI-RUI-C018;55.60;2026-05-22 01:02:08.29
BI-RUI-P012;60.5;2026-05-22 01:02:08.29
BI-RUI-004;69.922;2026-05-22 01:02:08.29
BI-RUI-001;67.754;2026-05-22 01:02:08.29
BI-RUI-C012;52.9;2026-05-22 01:02:08.29
BI-RUI-006;73.899;2026-05-22 01:02:08.29
BI-RUI-P006;65.3;2026-05-22 01:03:03.687
BI-RUI-009;68.731;2026-05-22 01:03:10.5
BI-RUI-BR11;55.865;2026-05-22 01:03:13.173
BI-RUI-C002;74.1;2026-05-22 01:03:15.407
BI-RUI-C018;53.30;2026-05-22 01:03:21.313
BI-RUI-P014;58.7;2026-05-22 01:03:41.41
BI-RUI-C012;50.1;2026-05-22 01:03:47.77
BI-RUI-C008;52.0;2026-05-22 01:03:54.397
BI-RUI-C005;55.3;2026-05-22 01:04:44.797
BI-RUI-C012;50.8;2026-05-22 01:05:04.41
BI-RUI-C015;50.40;2026-05-22 01:05:23.253
BI-RUI-C020;61.90;2026-05-22 01:05:43.79
BI-RUI-025;58.60;2026-05-22 01:06:03.15
BI-RUI-011;54.619;2026-05-22 01:06:04.323
BI-RUI-007;60.157;2026-05-22 01:06:12.777
BI-RUI-C021;50.50;2026-05-22 01:06:16.293
BI-RUI-020;54.40;2026-05-22 01:06:16.53
BI-RUI-C012;53.0;2026-05-22 01:06:23.7
BI-RUI-C034;57.90;2026-05-22 01:06:57.91
BI-RUI-021;55.30;2026-05-22 01:07:20.54
BI-RUI-C012;52.5;2026-05-22 01:07:42.26
BI-RUI-C033;52.10;2026-05-22 01:07:51.87
BI-RUI-P010;57.2;2026-05-22 01:08:26.33
BI-RUI-C016;49.4;2026-05-22 01:08:44.143
BI-RUI-P005;61.9;2026-05-22 01:08:47.473
BI-RUI-C012;55.9;2026-05-22 01:08:58.82
BI-RUI-008;56.366;2026-05-22 01:09:01.053
BI-RUI-C013;54.4;2026-05-22 01:09:10.273
BI-RUI-C001;58.9;2026-05-22 01:09:36.2
BI-RUI-010;69.611;2026-05-22 01:09:58.03
BI-RUI-C019;22.40;2026-05-22 01:09:59.11
BI-RUI-C012;53.3;2026-05-22 01:10:14.97
BI-RUI-005;56.468;2026-05-22 01:10:19.44
BI-RUI-BR15;60.60;2026-05-22 01:10:26.63
BI-RUI-BR6;41.741;2026-05-22 01:11:23.48
BI-RUI-C012;51.4;2026-05-22 01:11:31.373
BI-RUI-C012;52.4;2026-05-22 01:12:49.523
BI-RUI-C003;45.20;2026-05-22 01:13:02.23
BI-RUI-C032;49.00;2026-05-22 01:13:02.293
BI-RUI-P011;58.7;2026-05-22 01:13:37.767
BI-RUI-015;76.331;2026-05-22 01:13:53.77
BI-RUI-C012;52.0;2026-05-22 01:14:05.943
BI-RUI-C004;73.8;2026-05-22 01:14:09.553
BI-RUI-C012;53.3;2026-05-22 01:15:26.923
BI-RUI-017;69.437;2026-05-22 01:15:29.987
BI-RUI-019;65.694;2026-05-22 01:15:31.643
BI-RUI-C014;51.40;2026-05-22 01:15:33.783
BI-RUI-004;67.037;2026-05-22 01:15:44.567
BI-RUI-P013;56.8;2026-05-22 01:15:55.38
BI-RUI-P009;65.5;2026-05-22 01:15:58.663
BI-RUI-006;77.451;2026-05-22 01:16:03.037
BI-RUI-001;67.288;2026-05-22 01:16:26.103
BI-RUI-P012;62.3;2026-05-22 01:16:35.433
BI-RUI-C012;48.1;2026-05-22 01:17:55.54
BI-RUI-P006;68.6;2026-05-22 01:18:03.743
BI-RUI-009;66.455;2026-05-22 01:18:17.51
BI-RUI-BR11;55.728;2026-05-22 01:18:18.073
BI-RUI-C002;74.4;2026-05-22 01:18:25.17
BI-RUI-C018;54.50;2026-05-22 01:18:38.297
BI-RUI-P014;55.2;2026-05-22 01:18:41.67
BI-RUI-C012;48.6;2026-05-22 01:19:06.33
BI-RUI-C008;49.9;2026-05-22 01:19:17.113
BI-RUI-C005;53.1;2026-05-22 01:19:52.057
BI-RUI-C012;46.9;2026-05-22 01:20:14.217
BI-RUI-P007;52.6;2026-05-22 01:20:18.92
BI-RUI-C015;42.90;2026-05-22 01:20:45.283
BI-RUI-007;57.164;2026-05-22 01:21:08.613
BI-RUI-011;58.740;2026-05-22 01:21:12.973
BI-RUI-C020;56.10;2026-05-22 01:21:16.037
BI-RUI-025;56.10;2026-05-22 01:21:19.21
BI-RUI-C012;50.3;2026-05-22 01:21:25.85
BI-RUI-C021;56.20;2026-05-22 01:21:34.4
BI-RUI-020;56.40;2026-05-22 01:21:38.01
BI-RUI-C034;57.00;2026-05-22 01:22:14.06
BI-RUI-P002;43.4;2026-05-22 01:22:15.767
BI-RUI-021;60.20;2026-05-22 01:22:36.52
BI-RUI-C012;68.2;2026-05-22 01:22:42.207
BI-RUI-C033;52.10;2026-05-22 01:23:14.493
BI-RUI-008;57.074;2026-05-22 01:23:45.153
BI-RUI-P005;73.9;2026-05-22 01:23:47.793
BI-RUI-C012;60.7;2026-05-22 01:23:49.59
BI-RUI-C016;50.3;2026-05-22 01:24:03.233
BI-RUI-C013;53.7;2026-05-22 01:24:29.597
BI-RUI-C001;59.1;2026-05-22 01:24:56.803
BI-RUI-C012;51.3;2026-05-22 01:24:57.087
BI-RUI-010;66.984;2026-05-22 01:24:59.197
BI-RUI-P001;55.4;2026-05-22 01:25:02.773
BI-RUI-C019;22.40;2026-05-22 01:25:26.48
BI-RUI-005;61.475;2026-05-22 01:25:26.573
BI-RUI-BR15;60.50;2026-05-22 01:25:34.733
